Fact_ID,Date,Security_ID,Measure,Value
876,2018-06-25,20,Open,195.98
876,2018-06-25,20,High,196.33
876,2018-06-25,20,Low,193.64
876,2018-06-25,20,Close,195.8
876,2018-06-25,20,AdjClose,177.39365
876,2018-06-25,20,Volume,2922500
877,2018-06-26,20,Open,196.84
877,2018-06-26,20,High,197.95
877,2018-06-26,20,Low,195.98
877,2018-06-26,20,Close,196.58
877,2018-06-26,20,AdjClose,178.10034
877,2018-06-26,20,Volume,2140200
878,2018-06-27,20,Open,196.57001
878,2018-06-27,20,High,199.89999
878,2018-06-27,20,Low,194.76
878,2018-06-27,20,Close,194.92
878,2018-06-27,20,AdjClose,176.59634
